,patent_id,type,country,date,abstract,title,kind,num_claims,withdrawn,subsection_id,Citation#
2829720,9122455,utility,US,01/09/2015,An information handling system converts from a closed position to a tablet position by rotating a lid with a display 360 degrees about a hinge having motion translated between lid and housing portions through first and second engage gears of different diameters. The hinge has first and second axles held in a spaced and substantially parallel orientation by a support with first and second gears having a gear ratio of substantially 2.54 to 1. Overall system thickness is reduced by having a lid portion gear with a diameter of substantially the thickness of the lid portion and a housing portion gear with a diameter of substantially the thickness of the housing portion.,Information handling system housing lid with synchronized motion provided by unequal gears,B2,20,0,G06,0
1196620,11068849,utility,US,20/07/2021,"The present disclosure relates generally to utilizing paid time off. In one example, the systems and methods described herein may provide an infrastructure to repurpose paid time off into other uses, such as cash, travel, bill payments, and the like.",Systems and methods for repurposing paid time off,B2,21,0,G06,0
3499378,9916427,utility,US,13/03/2018,"An automatic data collection system tracks medical articles by providing a robust electromagnetic (EM) field within an enclosure in which the articles are stored. Respective data carriers, such as RFID tags, attached to each article respond to the electromagnetic field by transmitting data identified with each article. An RFID scanner receives the transmitted RFID tag identification data and a processor compares the received identification data to a data base. The data base associates the identification data with data concerning the medical article to which the RFID tag is affixed, such as the name of the medicine, the size of the dose, and the expiration date. The processor is also programmed to keep track of the number of articles of a particular type remaining in the enclosure, to note receipt of an article in the enclosure, and to note removal of the article.",System and method for tracking medical articles,B2,25,0,G06,0
2252564,8121999,utility,US,21/02/2012,"A method for searching a database that includes private social network data includes providing one or more databases including a plurality of database entries, a first portion of the database entries including private social network data and a second portion including non-social network data that is publicly accessible on the World Wide Web. The method further includes receiving a keyword search request from a search request user and searching the one or more databases or a keyword index thereof using one or more keywords and determining a hierarchy for search result items. The method also includes displaying at least a portion of search results items according to the hierarchy. And, determining whether the user has access rights to a particular subset of the private social network data and wherein if the user has access rights to the particular subset of private social network data, using at least a portion of the particular subset of social network data in the step of (i) searching the one or more databases, (ii) determining the hierarchy, and/or (iii) displaying the search result items.",Methods for searching private social network data,B2,20,0,G06,0
1270305,11126734,utility,US,21/09/2021,"A data processing method comprises: in response to data to be encrypted or decrypted, determining, at a blockchain node, whether an adapter coupled to the node has been initialized; in response to determining that the adapter has not been initialized, determining an access address of the adapter; initializing the adapter based on the access address; and enabling the initialized adapter to encrypt or decrypt the data. As such, data encryption or decryption at the blockchain node is accelerated via the adapter.","Method, device and computer program product for data processing",B2,20,0,G06,0
1613221,6211891,utility,US,03/04/2001," A method for configuring an Accelerated Graphics Port (AGP) chipset having an AGP chipset cache. The method includes providing an operating system with a persistent data file, the persistent data file storing cache configuration parameter information for configuring the AGP chipset cache, loading the cache configuration parameter information from the persistent data file upon execution of an AGP chipset driver, and configuring the AGP chipset cache based upon the cache configuration parameter information. ",Method for enabling and configuring and AGP chipset cache using a registry,A,18,0,G06,0
3074411,9424324,utility,US,23/08/2016,"In a method for storing and providing medical image data in a distributed, computer-based system of a clinical facility comprising multiple satellites, wherein a satellite has at least one modality, an image administration server and at least one local database, and wherein the clinical facility also has a central database for the administration of the stored image data and a central long-term storage for long-term storage, the image data are acquired at the modality, the image data include metadata and pixel data, partial metadata in the metadata of the acquired image data are marked, at least the metadata of the image data acquired are locally stored at the respective satellites, the image data of the image data acquired at the respective satellites are centrally stored in the central long-term storage, all metadata stored in the local database in the central database are completely, centrally replicated, and the marked partial metadata of the image data from the central database are partially, automatically replicated at respective local databases of one, multiple or all satellites in order to be able to provide these image data at the satellites.","Method, computer-readable medium, and system for storing, allocating and retrieving medical image data in a distributed computerized system of a clinical facility",B2,22,0,G06,0
813432,10764156,utility,US,01/09/2020,"Provided are communication management techniques useful for delivering communications to client instances that have been impacted by a particular issue. The communication management techniques include determining an issue that impacts two or more client instances, generating and presenting a communications management graphical user interface (GUI), and sending communications to each client instance in response to a selection of a selectable communication action. The communications management GUI may include a communications portion configured to perform a selectable communication action related to the issue that impacts two or more client instances, and the selectable communication action may be configurable to send one or more communications to each client instance.",Issue communication techniques,B2,19,0,G06,0
3215854,9589126,utility,US,07/03/2017,"An electronic device having a lockscreen and a method implementing said lockscreen are disclosed herein, the electronic device including a display, a memory, and one or more processors configured to execute the method, the method including displaying a lockscreen pattern on the display including movable points repositionable in response to a drag input, and fixed points that are stationary, detecting drag inputs moving the movable points within the lockscreen pattern, and unlocking the electronic device if the detected drag inputs moving the movable points matches a pre-specified unlock condition stored in the memory.",Lock control method and electronic device thereof,B2,18,0,G06,0
1145772,11030248,utility,US,08/06/2021,"A resource dependency system displays two dynamically interactive interfaces in a resource dependency user interface, a hierarchical resource repository and a dependency graph user interface. User interactions on each interface can dynamically update either interface. For example, a selection of a particular resource in the dependency graph user interface causes the system to update the dependency graph user interface to indicate the selection and also updates the hierarchical resource repository to navigate to the appropriate folder corresponding to the stored location of the selected resource. In another example, a selection of a particular resource in the hierarchical resource repository causes the system to update the hierarchical resource repository to indicate the selection and also updates the dependency graph user interface to display an updated graph, indicate the selection and, in some embodiments, focus on the selected resource by zooming into a portion of the graph.",Resource dependency system and graphical user interface,B2,20,0,G06,4
2950408,9274707,utility,US,01/03/2016,"A method of allocating data to a storage block included in a storage network may include determining a plurality of characteristics associated with a storage block included in a storage network. The plurality of characteristics may include storage capacity of the storage block, available storage space of the storage block, likelihood of loss of data stored on the storage block, availability of the storage block with respect to the storage network, and use of the storage block. The method may further include allocating data to the storage block based on the plurality of characteristics.",Storage network data allocation,B2,20,0,G06,4
2337480,8296204,utility,US,23/10/2012,"A system and method for verifying a financial instrument or a user's authorization to use a financial instrument. The system initiates one or more verifying transactions involving the instrument, with details that may vary from one transaction to another, such as the type of transaction (e.g., deposit, credit, debit), amount of the transaction, number of transactions, the merchant or vendor name or account for the transaction, and so on. Selected details, particularly variable ones are saved in the system. The user accesses information regarding the transaction, by accessing it on-line, via telephone, in a monthly statement, etc. The user then submits the requested details to the system, which compares them to the stored details. If they correspond, then the user may be allowed to use the instrument (e.g., for a purchase, a fund transfer).",System and method for reducing RIKS associated with accepting a financial instrument,B2,25,0,G06,27
193580,10203735,utility,US,12/02/2019,"Systems and methods include a power module comprising at least one fuel cell generator for powering a load, and a bypass mechanism having a first, normally-open fast-acting switch that closes in 1-250 msec, and a second, normally-open switch in parallel with the first switch, the bypass mechanism being electrically connected between the load and a second power source, such as a grid source, where the first switch is configured to close in response to a fault event such that when the first switch is closed power to the load is provided from the second power source through the first switch, and the second switch closes after a predetermined time such that power to the load from the second source is provided through the second switch. Additional methods and systems include providing power to a plurality of loads using fuel cell power generators.",Systems and methods for providing fuel cell power to a data center,B2,15,0,G06,0
671753,10643302,utility,US,05/05/2020,"A method and an apparatus for generating 3D panoramic video are provided. In the method, plural frames are captured from a panoramic video. Each frame is transformed into a polyhedral mapping projection comprising side planes, a top plane and a bottom plane. Displacements of pixels in the side planes are calculated by using the side planes of each frame, and displacements of pixels in the top plane and the bottom plane are calculated by using the displacements of the side planes. Then, the pixels in the side planes, the top plane and the bottom plane of each frame are shifted according the displacements of the polyhedral mapping projection to generate a shifted polyhedral mapping projection. The shifted polyhedral mapping projection is transformed into a shifted frame with 2D space format. The shifted frames and corresponding frames construct 3D images and the 3D images are encoded into a 3D panoramic video.",Method and apparatus for generating three-dimensional panoramic video,B2,20,0,G06,4
2320867,8261233,utility,US,04/09/2012,A system may identify a workflow associated with a graphical model and execute the workflow in a number of stages. The system may display a number of components of the graphical model and identify which of the displayed components are associated with or affected by execution of a current one of the stages of the workflow.,System and method for synchronized workflow management,B2,23,0,G06,3
1623591,6263379,utility,US,17/07/2001," A method and system for referring to and binding to objects using a moniker object is provided. In a preferred embodiments moniker object contains information to identify linked source data and provides methods through which a program can bind to the linked source data. A binding method is provided that returns an instance of an interface through which the linked source data can be accessed. The moniker object can identify source data that is stored persistently or nonpersistently. In addition, moniker objects can be composed to form a composite moniker object. A composite moniker object is used to identify linked source data that is nested in other data. In a preferred embodiment, the moniker object provides other methods including a reducing method that returns a more efficient representation of the moniker object; equality and hash methods for comparing moniker objects; and inverse, common prefix, and relative-path-to methods for comparing and locating moniker objects from other moniker objects. Several implementations of a moniker object are provided including a file moniker, an item moniker, a generic composite moniker, a pointer moniker, and an anti moniker. Each implementation is a moniker class and has a class identifier that identifies code to manage the moniker class. ",Method and system for referring to and binding to objects using identifier objects,A,17,0,G06,1
1719336,6721727,utility,US,13/04/2004,,XML document stored as column data,B2,55,0,G06,2
561598,10551845,utility,US,04/02/2020,"A method for generating at least one image data set for training to be used for a CNN capable of detecting objects in an input image is provided for improving hazard detection while driving. The method includes steps of: a computing device (a) acquiring a first label image in which edge parts are set on boundaries between the objects and a background and different label values are assigned corresponding to the objects and the background; (b) generating an edge image by extracting edge parts from the first label image; (c) generating a second label image by merging the first label image with a reinforced edge image, generated by assigning weights to the extracted edge parts; and (d) storing the input image and the second label image as the image data set. Further, the method allows a degree of detecting traffic sign, landmark, road marker and the like to be increased.",Method and computing device for generating image data set to be used for hazard detection and learning method and learning device using the same,B1,12,0,G06,0
1792765,6999631,utility,US,14/02/2006,"An image processing technique for generating a multi-valued image with fine contours from an input image that is generated by reading, as a multi-valued image, the dotted print contents of printed matter. An image processing apparatus of the present invention generates a contour extracted image by performing the contour extraction process for the input image, and deletes contours from the contour extracted image that satisfy a predetermined condition to generate a partial contour image. Then, the apparatus adds contours to the partial image according to the density distribution of the contour in the partial contour image, and generates a contour added image. By referring to the contour added image, the apparatus superimposes the input image and a smoothed image obtained by performing a smoothing process for the input image to generate a synthesized image. Since contours that satisfy a predetermined condition are deleted from the contour extracted image, the moire patterns included in the contour extracted image are removed. In addition, since contours are added according to the density distribution of the contour, necessary contours can be recovered.",Image processing apparatus and method,B1,14,0,G06,2
3422610,9827956,utility,US,28/11/2017,"A method for detecting a braking situation of a vehicle located on a traffic route, which has a task of ascertaining a red component of at least one image area of an image which depicts at least one section of the traffic route, and includes a task of determining the braking situation based on the red component.",Method and device for detecting a braking situation,B2,13,0,G06,15
652995,10628337,utility,US,21/04/2020,"A method, executed by one or more processors, includes monitoring a plurality of ambient condition sensors configured to sense a plurality of ambient conditions that are relevant to a plurality of communication modes provided by at least one user I/O device, deactivating a first communication mode of the plurality of communication modes and activating a second communication mode of the plurality of communication modes in response to determining, via the plurality of ambient condition sensors, that one or more of the plurality of ambient conditions are not conducive to the first communication mode and that the plurality of ambient conditions are collectively more conducive to the second communication mode than the first communication mode. A corresponding apparatus and computer program product are also disclosed herein.",Communication mode control for wearable devices,B2,20,0,G06,7
337700,10346175,utility,US,09/07/2019,"Various embodiments are generally directed to techniques for cooperation between a higher function core and a lower power core to minimize the effects of interrupts on a current flow of execution of instructions. An apparatus may include a lower power core comprising a first instruction pipeline, the lower power core to stop a first flow of execution in the first instruction pipeline and execute instructions of a handler routine in the first instruction pipeline to perform a first task of handling an interrupt; and a higher function core comprising a second instruction pipeline, the higher function core to, following the performance of the first task, schedule execution of instructions of a second task of handling the interrupt in the second instruction pipeline to follow a second flow of execution in the second instruction pipeline, the first task more time-sensitive than the second task. Other embodiments are described and claimed.",Techniques for cooperative execution between asymmetric processor cores,B2,23,0,G06,0
1966249,7475236,utility,US,06/01/2009,"A method for ensuring a correct sub-system BIOS for a specified system checks whether first identifying information associated with a system BIOS of the specified system is consistent with second identifying information associated with the sub-system BIOS upon initialization of the specified system. While a normal boot-up sequence is performed when the first identifying information is consistent with the second identifying information, a simplified boot-up sequence is performed to inform of incorrect sub-system BIOS when the first identifying information is inconsistent with the second identifying information. Following the second boot-up sequence, a warning message is given and then the specified system is halted.",Method for ensuring correct sub-system bios for specified system,B2,18,0,G06,0
539728,10529026,utility,US,07/01/2020,"A method, system and computer-readable medium are provided for performing a property inspection using aerial images, the method including the steps of receiving an indication of a request from a user to receive a quote regarding a property, identifying the property, retrieving one or more aerial images associated with the property, extracting information regarding the property from the one or more aerial images and providing an insurance decision for the property to the user according to the extracted information from the one or more aerial images in response to the request from the user.",Property inspection using aerial imagery,B2,17,0,G06,0
2874863,9177246,utility,US,03/11/2015,"Apparatus and methods for an extensible robotic device with artificial intelligence and receptive to training controls. In one implementation, a modular robotic system that allows a user to fully select the architecture and capability set of their robotic device is disclosed. The user may add/remove modules as their respective functions are required/obviated. In addition, the artificial intelligence is based on a neuronal network (e.g., spiking neural network), and a behavioral control structure that allows a user to train a robotic device in manner conceptually similar to the mode in which one goes about training a domesticated animal such as a dog or cat (e.g., a positive/negative feedback training paradigm) is used. The trainable behavior control structure is based on the artificial neural network, which simulates the neural/synaptic activity of the brain of a living organism.",Intelligent modular robotic apparatus and methods,B2,13,0,G06,0
766490,10726062,utility,US,28/07/2020,"For image captioning such as for computer game images or other images, bottom-up attention is combined with top-down attention to provide a multi-level residual attention-based image captioning model. A residual attention mechanism is first applied in the Faster R-CNN network to learn better feature representations for each region by taking spatial information into consideration. In the image captioning network, taking the extracted regional features as input, a second residual attention network is implemented to fuse the regional features attentionally for subsequent caption generation.",System and method for converting image data into a natural language description,B2,20,0,G06,0
879683,10818016,utility,US,27/10/2020,"Systems and methods for predictive/reconstructive visual object tracking are disclosed. The visual object tracking has advanced abilities to track objects in scenes, which can have a variety of applications as discussed in this disclosure. In some exemplary implementations, a visual system can comprise a plurality of associative memory units, wherein each associative memory unit has a plurality of layers. The associative memory units can be communicatively coupled to each other in a hierarchical structure, wherein data in associative memory units in higher levels of the hierarchical structure are more abstract than lower associative memory units. The associative memory units can communicate to one another supplying contextual data.",Systems and methods for predictive/reconstructive visual object tracker,B2,24,0,G06,0
3150752,9514189,utility,US,06/12/2016,"A search request received at a computer of a search support system is processed by analyzing the received search request to identify request parameters and connecting to a system index of the search support system that is referenced in the request parameters. An external result provider (ERP) process is initiated that establishes communication between the search support system and a data source external to the search support system, for a virtual index referenced in the request parameters. Thus, the ERP process provides an interface between the search support system and external data sources, such as by third parties. The ERP process can operate in a streaming mode (providing real-time search results with minimal processing) and/or a reporting mode (providing results with a greater delay and processing extent) and can switch between modes. The search request results are received from the connected system indexes and the referenced virtual indexes.",Processing a system search request including external data sources,B2,39,0,G06,0
369698,10373260,utility,US,06/08/2019,"An image processing system includes a first image processor that creates a composite 3-D image or model of a damaged vehicle from a plurality of 2-D images of the damaged vehicle. The first image processor or another image processor of the system generates deformation data that is indicative or descriptive of points/areas of damage on the vehicle based on a comparison of the composite 3-D image/model with a 3-D image/model of a pristine vehicle. Based on the deformation data, a deformation model component generates indications of replacement parts and/or other items corresponding to repairing the vehicle by utilizing a model generated from historical claim data. Aside from receiving the initial set of images of the damaged vehicle, the system does not require any user input, and may generate the indications of replacement parts and/or other items corresponding to repairing the vehicle in real-time, such as at FNOL.",Imaging processing system for identifying parts for repairing a vehicle,B1,22,0,G06,0
2099563,7791777,utility,US,07/09/2010,"A method and apparatus is disclosed for color balancing page data, from a variety of input sources having non-consistent device color profiles, among a plurality of individually accessible print engines arranged in a system for color printing multiple copies of multiple page documents. Input page data is converted to a common color space, rasterized and routed to a selected print engine. Page data routed to each marking engine is color balanced to the selected marking engine where at least a portion of the color balancing occurs following the rasterizing of the page data.",Method and apparatus for providing a color-balanced multiple print engine,B2,6,0,G06,7
2677191,8897924,utility,US,25/11/2014,"A power management system suitable for dynamically allocating power provided by a selected power source among one or more associated loads and methods for manufacturing and using same. In a normal operation mode, the power source provides power to one or more enabled loads. The selection of loads that are enabled, and therefore the provided power, can dynamically vary over time. If an undesired power condition arises, a power limiting mode is entered, wherein at least one of the enabled loads is disabled. The resultant power provided by the power source to the remaining enabled loads is measured, and the power limit mode is maintained until the undesired power condition is resolved. As needed, further corrective action, such as disabling additional enabled loads, can be applied to resolve the undesired power condition. The power management system thereby can comprise a hierarchical system for dynamically resolving undesired power conditions.",System and method for providing dynamic power management,B2,25,0,G06,51
1786197,6980970,utility,US,27/12/2005,"A method and system for approval by a verification computer of an online transaction between a user computer and a merchant computer over the Internet. The user computer transmits a transaction request to the merchant computer, which may include a product to be purchased and the payment amount. The merchant computer transmits to the verification computer a verification request including a first data string associated with the payment card (such as a debit card account number or a portion thereof) and the payment amount. The verification request is stored at the verification computer with a transaction identifier and a verification data string, which are also transmitted to the merchant computer. The merchant computer stores the verification data string as an expected verification data string and the transaction identifier, transmits the transaction identifier to the user computer, and the user computer transmits the transaction identifier to the verification computer. This may be accomplished by the merchant computer redirecting the web browser of the user computer to the verification computer. The user computer also transmits a second data string associated with the payment card (such as the PIN for the debit card) after being requested by the verification computer. The verification computer uses the transaction identifier received via the user computer to retrieve the verification request previously stored with that received transaction identifier, and then it performs a verification step by using the first data string associated with the payment card retrieved from storage and the second data string associated with the payment card received from the user computer to verify if the transaction should be approved, e.g. by determining if an account associated with the payment card is sufficient to cover the payment amount in the verification request. The verification computer will, upon successful verification that the transaction should be approved, transmit a verification approval message to the user computer, which includes the transaction identifier and the verification data string associated therewith as a confirmation verification data string, and the user computer transmits the verification approval message to the merchant computer. This may also be accomplished by the verification computer redirecting the web browser of the user computer to the merchant computer with the appropriate data. The merchant computer uses the transaction identifier in the verification approval message to retrieve an expected verification data string it had previously stored. The merchant computer then compares the expected verification data string with the confirmation verification data string from the verification approval message and indicates that the transaction has been approved if the comparison is positive.",Secure networked transaction system,B2,113,0,G06,2
3535359,9954879,utility,US,24/04/2018,Systems and methods include: receiving digital event type data that define attributes of a digital event type; receiving digital fraud policy that defines a plurality of digital processing protocols; transmitting via a network the digital event data and the digital fraud policy to a remote digital fraud mitigation platform; using the digital event data to configure a first computing node comprising an events data application program interface or an events data computing server to detect digital events that classify as the digital event type; using digital fraud policy to configure a second computing node comprising a decisioning API or a decisioning computing server to automatically evaluate and automatically select one digital event processing outcome of a plurality of digital event processing outcomes that indicates a disposal of the digital events classified as the digital event type; and implementing a digital threat mitigation application process flow that evaluates digital event data.,System and methods for dynamic digital threat mitigation,B1,14,0,G06,0
1666698,6477533,utility,US,05/11/2002,"In one embodiment, systems and methods are used to maintain client relationships by tracking and managing customers and agents involved in booking a cruise. Furthermore, various activities which take place between an agent and active customers are monitored, whereby the type and quantity of activities performed by the agent is evaluated to assign a period of time of ownership of the customer. During the period of time while the customer is owned, other agents are prevented from acquiring the customer and subsequent booking commission. A series of rules which determine the duration of ownership of the customer are maintained and applied to enable the ownership to be changed as needed.",Systems and methods of maintaining client relationships,B2,23,0,G06,0
554150,10541984,utility,US,21/01/2020,"Computing systems, devices, and associated methods of managing secure communication using hardware accelerators are disclosed herein. In one embodiment, a method includes receiving a data request from a user kernel requesting to read a message stored in a buffer. In response to receiving the data request, transmitting to a processor, data representing a request to validate content in the message. The method also includes receiving from the processor, data representing a validation result containing an indication whether the content in the message is valid and a header size of the message. When the indication indicates that the content of the message is valid, a header of the message is removed from the message according to the header size in the validation result to extract the payload and providing the extracted payload to the user kernel.",Hardware-accelerated payload filtering in secure communication,B2,20,0,G06,3
2083334,7752457,utility,US,06/07/2010,A secure data mirroring capability in a storage system includes encrypting data blocks in a primary volume in preparation for a data mirroring operation. The encrypted data blocks are mirrored to a secure secondary volume. Host systems provide keys from which encryption keys are produced for encrypting the data blocks. Access to data on the secure secondary volume requires decryption using the key that was used to produce the encrypted data blocks.,Method and apparatus for secure data mirroring a storage system,B2,21,0,G06,0
3214670,9588868,utility,US,07/03/2017,"A system and method for correlating asynchronous operations via an operation identifier comprises receiving an originating operation from a first system that indicates a change in the first system and generating a first message with respect to the originating operation. The first message is associated with the operation identifier. The system and method further propagates the first message to a second system, which causes a subsequent operation being associated with the operation identifier to be performed by the second system, and correlates the originating operation and the subsequent operation via the operation identifier.",Correlating multiple disjoint events via an operation identifier,B2,11,0,G06,0
